aggregation,horizon_eval,var_coeff,ensemble_size,seed,task,reward,success
mean,3,0.001,3,1,humanoid-run,588.8,0.00
mean,3,0.001,3,2,humanoid-run,605.0,0.00
mean,15,10.0,2,3,humanoid-run,471.5,0.00
mean,3,0.001,3,3,humanoid-run,601.0,0.00
mean,3,0.0,2,1,humanoid-run,581.3,0.00
mean,3,0.01,3,1,humanoid-run,605.1,0.00
mean,3,0.0,2,2,humanoid-run,589.5,0.00
mean,3,0.01,3,2,humanoid-run,616.9,0.00
mean,3,0.0,2,3,humanoid-run,593.7,0.00
mean,3,0.01,3,3,humanoid-run,600.9,0.00
mean,3,0.0,6,1,humanoid-run,514.8,0.00
mean,3,0.0,6,1,humanoid-run,590.2,0.00
mean,3,0.0,6,2,humanoid-run,512.7,0.00
mean,3,0.0,6,2,humanoid-run,606.6,0.00
mean,3,0.0,6,3,humanoid-run,509.3,0.00
mean,3,0.0,6,3,humanoid-run,599.6,0.00
mean,3,0.001,6,1,humanoid-run,513.7,0.00
mean,3,0.001,6,1,humanoid-run,585.0,0.00
mean,3,0.001,6,2,humanoid-run,515.8,0.00
mean,3,0.001,6,2,humanoid-run,593.4,0.00
mean,3,0.001,6,3,humanoid-run,495.6,0.00
mean,3,0.001,6,3,humanoid-run,599.2,0.00
mean,3,0.01,6,1,humanoid-run,510.3,0.00
mean,3,0.01,6,1,humanoid-run,605.3,0.00
mean,3,0.01,6,2,humanoid-run,518.8,0.00
mean,3,0.01,6,2,humanoid-run,597.3,0.00
mean,3,0.01,6,3,humanoid-run,525.1,0.00
mean,3,0.01,6,3,humanoid-run,605.8,0.00
mean,3,1.0,6,1,humanoid-run,508.9,0.00
mean,3,1.0,6,1,humanoid-run,578.4,0.00
mean,3,1.0,6,2,humanoid-run,512.5,0.00
mean,3,1.0,6,2,humanoid-run,593.8,0.00
mean,3,1.0,6,3,humanoid-run,521.8,0.00
mean,3,1.0,6,3,humanoid-run,580.3,0.00
mean,3,10.0,6,1,humanoid-run,144.4,0.00
mean,3,10.0,6,1,humanoid-run,373.6,0.00
mean,3,10.0,6,2,humanoid-run,216.4,0.00
mean,3,10.0,6,2,humanoid-run,248.8,0.00
mean,3,10.0,6,3,humanoid-run,187.2,0.00
mean,3,10.0,6,3,humanoid-run,254.8,0.00
mean,5,0.0,6,1,humanoid-run,520.3,0.00
mean,5,0.0,6,1,humanoid-run,600.4,0.00
mean,5,0.0,6,2,humanoid-run,526.6,0.00
mean,5,0.0,6,2,humanoid-run,603.8,0.00
mean,5,0.0,6,3,humanoid-run,521.3,0.00
mean,5,0.0,6,3,humanoid-run,613.5,0.00
mean,5,0.001,6,1,humanoid-run,523.9,0.00
mean,5,0.001,6,1,humanoid-run,606.8,0.00
mean,5,0.001,6,2,humanoid-run,527.0,0.00
mean,5,0.001,6,2,humanoid-run,602.4,0.00
mean,5,0.001,6,3,humanoid-run,527.7,0.00
mean,5,0.001,6,3,humanoid-run,612.0,0.00
mean,5,0.01,6,1,humanoid-run,525.6,0.00
mean,5,0.01,6,1,humanoid-run,592.6,0.00
mean,5,0.01,6,2,humanoid-run,525.5,0.00
mean,5,0.01,6,2,humanoid-run,609.9,0.00
mean,5,0.01,6,3,humanoid-run,529.6,0.00
mean,5,0.01,6,3,humanoid-run,611.8,0.00
mean,5,1.0,6,1,humanoid-run,522.7,0.00
mean,5,1.0,6,1,humanoid-run,598.6,0.00
mean,5,1.0,6,2,humanoid-run,522.5,0.00
mean,5,1.0,6,2,humanoid-run,600.8,0.00
mean,5,1.0,6,3,humanoid-run,520.3,0.00
mean,5,1.0,6,3,humanoid-run,602.1,0.00
mean,5,10.0,6,1,humanoid-run,246.2,0.00
mean,5,10.0,6,1,humanoid-run,316.2,0.00
mean,5,10.0,6,2,humanoid-run,120.3,0.00
mean,5,10.0,6,2,humanoid-run,366.9,0.00
mean,5,10.0,6,3,humanoid-run,291.2,0.00
mean,5,10.0,6,3,humanoid-run,355.4,0.00
mean,7,0.0,6,1,humanoid-run,522.4,0.00
mean,7,0.0,6,1,humanoid-run,606.1,0.00
mean,7,0.0,6,2,humanoid-run,526.6,0.00
mean,7,0.0,6,2,humanoid-run,617.6,0.00
mean,7,0.0,6,3,humanoid-run,533.0,0.00
mean,7,0.0,6,3,humanoid-run,614.5,0.00
mean,7,0.001,6,1,humanoid-run,523.6,0.00
mean,7,0.001,6,1,humanoid-run,549.2,0.00
mean,7,0.001,6,2,humanoid-run,525.1,0.00
mean,7,0.001,6,2,humanoid-run,613.7,0.00
mean,7,0.001,6,3,humanoid-run,524.6,0.00
mean,7,0.001,6,3,humanoid-run,549.9,0.00
mean,7,0.01,6,1,humanoid-run,514.1,0.00
mean,7,0.01,6,1,humanoid-run,616.3,0.00
mean,7,0.01,6,2,humanoid-run,526.2,0.00
mean,7,0.01,6,2,humanoid-run,605.4,0.00
mean,7,0.01,6,3,humanoid-run,528.4,0.00
mean,7,0.01,6,3,humanoid-run,615.6,0.00
mean,7,1.0,6,1,humanoid-run,514.3,0.00
mean,7,1.0,6,1,humanoid-run,602.6,0.00
mean,7,1.0,6,2,humanoid-run,510.7,0.00
mean,7,1.0,6,2,humanoid-run,603.6,0.00
mean,7,1.0,6,3,humanoid-run,521.5,0.00
mean,7,1.0,6,3,humanoid-run,598.6,0.00
mean,7,10.0,6,1,humanoid-run,242.9,0.00
mean,7,10.0,6,1,humanoid-run,348.5,0.00
mean,7,10.0,6,2,humanoid-run,239.3,0.00
mean,7,10.0,6,2,humanoid-run,358.1,0.00
mean,7,10.0,6,3,humanoid-run,259.3,0.00
mean,7,10.0,6,3,humanoid-run,492.3,0.00
mean,10,0.0,6,1,humanoid-run,526.9,0.00
mean,10,0.0,6,1,humanoid-run,608.3,0.00
mean,10,0.0,6,2,humanoid-run,523.8,0.00
mean,10,0.0,6,2,humanoid-run,602.7,0.00
mean,10,0.0,6,3,humanoid-run,525.8,0.00
mean,10,0.0,6,3,humanoid-run,614.4,0.00
mean,10,0.001,6,1,humanoid-run,520.6,0.00
mean,10,0.001,6,1,humanoid-run,604.0,0.00
mean,10,0.001,6,2,humanoid-run,527.1,0.00
mean,10,0.001,6,2,humanoid-run,614.3,0.00
mean,10,0.001,6,3,humanoid-run,528.8,0.00
mean,10,0.001,6,3,humanoid-run,615.8,0.00
mean,10,0.01,6,1,humanoid-run,521.6,0.00
mean,10,0.01,6,1,humanoid-run,610.0,0.00
mean,10,0.01,6,2,humanoid-run,524.8,0.00
mean,10,0.01,6,2,humanoid-run,619.7,0.00
mean,10,0.01,6,3,humanoid-run,523.7,0.00
mean,10,0.01,6,3,humanoid-run,609.9,0.00
mean,10,1.0,6,1,humanoid-run,516.8,0.00
mean,10,1.0,6,1,humanoid-run,602.1,0.00
mean,10,1.0,6,2,humanoid-run,511.3,0.00
mean,10,1.0,6,2,humanoid-run,609.5,0.00
mean,10,1.0,6,3,humanoid-run,524.6,0.00
mean,10,1.0,6,3,humanoid-run,606.5,0.00
mean,10,10.0,6,1,humanoid-run,200.1,0.00
mean,10,10.0,6,1,humanoid-run,337.8,0.00
mean,10,10.0,6,2,humanoid-run,171.2,0.00
mean,10,10.0,6,2,humanoid-run,297.9,0.00
mean,10,10.0,6,3,humanoid-run,228.4,0.00
mean,10,10.0,6,3,humanoid-run,323.8,0.00
mean,15,0.0,6,1,humanoid-run,519.0,0.00
mean,15,0.0,6,1,humanoid-run,592.3,0.00
mean,15,0.0,6,2,humanoid-run,520.9,0.00
mean,15,0.0,6,2,humanoid-run,611.5,0.00
mean,15,0.0,6,3,humanoid-run,528.4,0.00
mean,15,0.0,6,3,humanoid-run,614.8,0.00
mean,15,0.001,6,1,humanoid-run,521.7,0.00
mean,15,0.001,6,1,humanoid-run,612.7,0.00
mean,15,0.001,6,2,humanoid-run,529.6,0.00
mean,15,0.001,6,2,humanoid-run,615.4,0.00
mean,15,0.001,6,3,humanoid-run,528.0,0.00
mean,15,0.001,6,3,humanoid-run,603.2,0.00
mean,15,0.01,6,1,humanoid-run,518.9,0.00
mean,15,0.01,6,1,humanoid-run,608.4,0.00
mean,15,0.01,6,2,humanoid-run,605.0,0.00
mean,15,0.01,6,2,humanoid-run,528.2,0.00
mean,15,0.01,6,3,humanoid-run,614.2,0.00
mean,15,0.01,6,3,humanoid-run,528.3,0.00
mean,15,1.0,6,1,humanoid-run,594.4,0.00
mean,15,1.0,6,1,humanoid-run,509.8,0.00
mean,15,1.0,6,2,humanoid-run,608.6,0.00
mean,15,1.0,6,2,humanoid-run,513.2,0.00
mean,15,1.0,6,3,humanoid-run,599.1,0.00
mean,15,1.0,6,3,humanoid-run,521.4,0.00
mean,15,10.0,6,1,humanoid-run,339.6,0.00
mean,15,10.0,6,1,humanoid-run,106.9,0.00
mean,15,10.0,6,2,humanoid-run,263.8,0.00
mean,15,10.0,6,2,humanoid-run,183.5,0.00
mean,15,10.0,6,3,humanoid-run,375.7,0.00
mean,15,10.0,6,3,humanoid-run,141.9,0.00
