aggregation,horizon_eval,var_coeff,ensemble_size,seed,task,reward,success
max,3,10.0,1,1,humanoid-run,187.3,0.00
max,3,10.0,1,2,humanoid-run,185.7,0.00
max,3,10.0,1,3,humanoid-run,190.1,0.00
min,3,0.0,1,1,humanoid-run,187.3,0.00
min,3,0.0,1,2,humanoid-run,185.7,0.00
min,3,0.0,1,3,humanoid-run,190.1,0.00
min,3,0.001,1,1,humanoid-run,187.3,0.00
min,3,0.001,1,2,humanoid-run,185.7,0.00
min,3,0.001,1,3,humanoid-run,190.1,0.00
min,3,0.01,1,1,humanoid-run,187.3,0.00
min,3,0.01,1,2,humanoid-run,185.7,0.00
min,3,0.01,1,3,humanoid-run,190.1,0.00
min,3,1.0,1,1,humanoid-run,187.3,0.00
min,3,1.0,1,2,humanoid-run,185.7,0.00
min,3,1.0,1,3,humanoid-run,190.1,0.00
min,3,10.0,1,1,humanoid-run,187.3,0.00
min,3,10.0,1,2,humanoid-run,185.7,0.00
min,3,10.0,1,3,humanoid-run,190.1,0.00
mean,5,0.0,1,1,humanoid-run,182.9,0.00
mean,5,0.0,1,2,humanoid-run,186.7,0.00
mean,5,0.0,1,3,humanoid-run,188.4,0.00
mean,5,0.001,1,1,humanoid-run,182.9,0.00
mean,5,0.001,1,2,humanoid-run,186.7,0.00
mean,5,0.001,1,3,humanoid-run,188.4,0.00
mean,5,0.01,1,1,humanoid-run,182.9,0.00
mean,5,0.01,1,2,humanoid-run,186.7,0.00
mean,5,0.01,1,3,humanoid-run,188.4,0.00
mean,5,1.0,1,1,humanoid-run,182.9,0.00
mean,5,1.0,1,2,humanoid-run,186.7,0.00
mean,5,1.0,1,3,humanoid-run,188.4,0.00
mean,5,10.0,1,1,humanoid-run,182.9,0.00
mean,5,10.0,1,2,humanoid-run,186.7,0.00
mean,5,10.0,1,3,humanoid-run,188.4,0.00
max,5,0.0,1,1,humanoid-run,182.9,0.00
max,5,0.0,1,2,humanoid-run,186.7,0.00
max,5,0.0,1,3,humanoid-run,188.4,0.00
max,5,0.001,1,1,humanoid-run,182.9,0.00
max,5,0.001,1,2,humanoid-run,186.7,0.00
max,5,0.001,1,3,humanoid-run,188.4,0.00
max,5,0.01,1,1,humanoid-run,182.9,0.00
max,5,0.01,1,2,humanoid-run,186.7,0.00
